"sort.unique.ciudades2.."
"AHMEDABAD"
"AMRITSAR"
"BENGALURU"
"CHANDIGARH"
"CHENNAI"
"COIMBATORE"
"DELHI"
"GAYA"
"GOA"
"HYDERABAD"
"JAIPUR"
"KOCHI"
"KOLKATA"
"KOZHIKODE"
"LUCKNOW"
"MADURAI"
"MANGALORE"
"MUMBAI"
"NAGPUR"
"PUNE"
"TIRUCHIRAPALLY"
"TRIVANDRUM"
"VARANASI"
"VISAKHAPATNAM"
